herCharm,body,noHerCharm,active
aegyo,abs,always thinking in a positive way,annoying
bright energy,adam's apple,being an energizer bunny,anxious
bright personality,baby face,being funny,arrogant
bubbliness,baby skin,being sexy,attentive
Busan accent,big hands,creating a good environment by laughing a lot,awkward
cave-like voice,birthmark on left hip,eating,blunt
cheerfulness,boba eyes,having a lot of energy,calm
chic expression,body proportions,knowing how to have fun,carefree
clear voice,braces,playing the piano,caring
clumsiness,Bunny front teeth,rapping,charismatic
cooking skills,cat face,singing,chic
cute aegyo,cat-like features,talking,clean
cute taste,charming eyes,that !SHE! has a different mindset from others,cold
dance skills,cheek moles,that !SHE! is slightly sloppy,conservative
dignity,cheekbones that stick out when !SHE! smiles,that !SHE! is the mood maker,considerate
dislike for silence,chubby left cheek,that !SHE! shares food,cute
dolphin laugh,cold appearance,that !SHE!'s a happy virus,easy-going
duality,crescent eye smile,that !SHE!'s a prankster,exemplar
energy,dainty hands,that !SHE!'s like a mother,extroverted
expression,Deer eye,the difference in !HER! voice when !SHE! raps and sings,fickle
expressionless face,dimples,the moment !SHE! kisses,firm
fluency in Mandarin,double eye mole,working out,flirtatious
foolish side,eye smile,,forgetful
funny personality,eyebrows,,fun
gap in image,eyebrows,,gentle
gaze,eyes,,hard-working
glasses,face that looks like Squirtle,,humble
good health,Fairy ears,,humorous
good stamina,freckles,,hyper
goofiness,golden proportions,,lively
goofy expressions,gummy smile,,lively
graceful dance,hairless skin,,loyal
graceful dancing,half-curly hair,,mature
great voice,heart-shaped mole,,meticulous
honesty,hooked nose,,mild
honey-sweet voice that appeals to the heart,hot body,,mischievous
husky voice,leg,,neat
hyena laugh,little dot on the right side of her nose,,nervous
kind nature,long eyelashes,,optimistic
laugh,long fingers,,playful
lemon-like voice,long legs,,playful
love for dogs,lower eyelids,,polite
low voice,milky skin,,positive
musical taste,monolids,,powerful
national-standard dancing ability,muscular body,,punctual
nervous laugh,nape,,quick-witted
overflowing energy,neck,,quiet
reversal charm,nice attractive butt,,random
satoori,nose,,reliable
sense of fashion,pale skin,,romantic
sense of humor,phoenix eye shape,,sensitive
sharp and intellectual charm,pinky finger,,serious
singing voice,pinky toe,,shy
stage presence,pretty nose,,sincere
talent,puffy face,,straightforward
talkative personality,sharp jawline,,strong
tendency to eat well,skinny frame,,stubborn
unexpected charms,slim ankles,,tender
unique voice,small but cute 8-pack,,timid
voice,small hands,,unique
wacky expressions,smile,,wacky
weak points,smiley expression,,warmhearted
weird expressions,smoky eyes,,
wink,snaggletooth,,
,sparkling eyes,,
,stiff cheeks,,
,strength,,
,strong digestive ability,,
,teeth,,
,upper eyelids,,
,veiny arms,,
,veiny hands,,
,waist,,
,wide (pacific) shoulders,,
,wrist,,
,lips shape,,
,lips corner,,
,tan skin,,
