Let's work hard every single day,
Love Makes Me Strong.,
!MYIDOLNAME!,
Always happy to be grateful.,
Don't be close minded. Be someone who knows how to look back on the past.,
"Happy thoughts bring happy things, painful thoughts bring painful things.",
"If we can't do it together, let's not do it at all.",
Let's be sexy!,
Let's live honestly, and !SHE! always tries !HER! best to be honest and true to !HERSELF! and others.;
Let's live together with music.,
Practice makes perfect. So let's practice until the end.,
Things are only difficult now,
Think 30 seconds more before saying.,
Work three times more when it seems to be perfect!,
Love Yourself.,
"Believe in me, because I am right.",
Enjoy Life,
Never give up on something you can't live a day without. Never say you can't before you try.,
Let's live without regrets,
Stars can't shine without darkness.,
Believe in myself.,
Just a little braver~,
Just enjoy~,
"Let's eat well, and live well.",
Let's have a good time!,
Let's live nicely~,
"Let's live with a positive mind, enjoy the life.",
Let's not make things that we regret.,
Let's try even when you regret it later.,
Light it up.,
Live while always smiling.,
Never give up on something you can't live a day without. Never say you can't before you try.,
Practice as much as you sleep.,
"This too, shall pass.",
To become someone big,
Today you spent in vain is the day as tomorrow someone who passed away really wants to live through.,
Let's work hard without any regrets.,
"Work hard, play hard!",
Dreams accompany me when I sleep. If I don't fulfill them I lose sleep.,
"!GROUPNAME!, What's the Ice Prince's Motto?", What's the Ice Prince's Motto?;
Don't make efforts go in vain.,
Giving joy to others is the greatest gift to oneself.,
"Good attitude, good mood, good music.",
I know the path I want to take so I'll at it my way.,
"If you don't work hard, there won't be good results.",
Let's do our best!,
My life .fighting! Live while smiling.,
Always think deep and let's work hard.,
 have no regrets,
Be relaxed or free.,
Hard work never betrays. Don't be selfish and work hard. You can achieve anything,
Let's be a person who knows how to be satisfied.,
Let's be good people.,
Let's do it right now!!,
Let's have fun,
Let's work hard. Be a man! Be righteous like a tiger.,
Be humble.,
Challenges don't have an end.,
"Don't miss the chance and do what you want to do when you are young, even for a day", even for a day;
I put myself in others' shoes.,
"Life is a journey, not a destination.I don't think there's a finish line in life.In this long journey called life, I want to live a life without regrets, seizing all my opportunities and continuously going forward..",
"Don't miss the chance and do what you want to do when you are young, even for a day",
I put myself in others' shoes.,
